,wbcode,year,Democracy,Protest,Within,Credibility,Adverse,Flexibility,Regime,Violence,Transparency,Democracy.rfI,Protest.rfI,Within.rfI,Credibility.rfI,Adverse.rfI,Flexibility.rfI,Regime.rfI,Violence.rfI,Transparency.rfI
111,AFG,1960,,,,,,,,,,-1.383556002,-0.2320236,-0.427835681,-0.547491217,-0.054490862,-0.082812158,-0.329155241,-0.767854053,0.291457084
112,AFG,1961,,,,,,,,,,-0.93543687,-0.268852518,-0.705938777,-0.236957887,0.410815348,-0.25131455,-0.260658248,-0.877176215,-0.048688871
113,AFG,1962,,,,,,,,,,-1.25771724,-0.229624898,-0.35883647,-0.553616817,-0.362050698,-0.069823759,-0.382992943,-0.71886357,0.258481745
114,AFG,1963,,,,,,,,,,-0.416927203,-0.209241226,-0.73595406,0.175504847,0.593895629,-0.254859799,-0.265555679,-0.639129059,-0.591478178
115,AFG,1964,,,,,,,,,,-1.210829321,-0.202148119,0.991499433,-0.683825554,0.186502159,-0.028695756,-0.205878425,0.47614905,-0.117034328
116,AFG,1965,,,,,,,,,,-0.442817208,-0.297838649,-0.549822449,1.569970855,-0.108569936,-0.359575321,-0.210701201,-0.028360595,-1.117625422
117,AFG,1966,,,,,,,,,,-1.261139696,-0.202765794,1.338741312,-0.671284773,-0.049487234,0.000772113,-0.275771315,0.283854339,0.042816625
118,AFG,1967,,,,,,,,,,-0.294343593,-0.267967996,0.401465277,1.373394834,-0.413433521,-0.364863565,-0.434226051,-0.11357297,-0.651044153
119,AFG,1968,,,,,,,,,,-0.335353163,-0.188971982,-0.29327505,-0.704744381,-0.248658179,-0.115790631,-0.324782374,0.074840775,-0.695046392
120,AFG,1969,,,,,,,,,,-0.035334284,-0.258037622,-0.484347906,-0.342123395,-0.462612679,-0.231288635,-0.298252442,-0.144460069,-0.724963717
121,AFG,1970,,,,,,,,,,-0.364381263,0.130454232,0.865998468,-0.672266448,0.713332277,-0.035826142,-0.143462744,0.431466968,-0.803968537
122,AFG,1971,,,,,,,,,,-0.558205033,-0.181348655,-0.139146254,-0.715819814,-0.278845355,-0.090275387,-0.343821125,0.453848996,-0.477428943
123,AFG,1972,,,,,,,,,,-1.067659071,-0.20344177,0.047043399,0.210304833,0.022816642,-0.231193161,-0.312402313,0.22510056,-0.325797416
124,AFG,1973,,,,,,,,,,0.00725296,-0.343829536,-1.071186291,0.681913112,-0.656358107,5.469460279,-0.264876809,-1.054030353,-0.839185882
125,AFG,1974,,,,,,,,,,-0.061809291,-0.226001776,-0.555916479,-0.719326486,-0.623566042,-0.110618564,-0.261407111,0.313624234,-0.590145681
126,AFG,1975,,,,,,,,,,-1.830350752,-0.223872162,0.474310862,-0.646211041,0.452595331,-0.065726837,-0.154444703,1.287552405,0.466463084
127,AFG,1976,,,,,,,,,,-1.71112326,-0.18035999,1.568243113,-0.648104429,0.501709108,-0.045291965,-0.229435305,0.822710447,0.507768687
128,AFG,1977,,,,,,,,,,-1.710189424,-0.165165234,1.212196715,-0.638482896,0.711711006,-0.044435749,0.069696826,0.777446802,0.317312555
129,AFG,1978,,,,,,,,,,-1.445634635,-0.723930556,-0.475088933,0.730406771,-0.068925244,5.384328252,2.507127492,0.539719714,0.604506712
130,AFG,1979,,,,,,,,,,-1.287612742,-0.385103215,0.039965019,1.817305981,1.222435139,10.81414082,2.801800596,1.989279467,0.052309149
131,AFG,1980,,,,,,,,,,-1.574818596,0.136939185,0.383118818,-0.589299959,0.689538647,-0.100581051,3.423021792,2.431214263,0.012182822
132,AFG,1981,,,,,,,,,,-1.584104856,0.014819147,-0.178597493,0.227704916,-0.664266474,-0.427245255,2.394197778,0.435909015,0.547082879
133,AFG,1982,,,,,,,,,,-1.314958936,-0.742941235,1.009264915,-0.567473599,-0.762652552,-0.357775488,2.946373798,0.176443251,0.663325173
134,AFG,1983,,,,,,,,,,-1.432589004,-0.584327441,0.399997902,-0.576317916,-0.69767439,-0.26728531,2.559258453,0.269701528,0.73146275
135,AFG,1984,,,,,,,,,,-1.23993179,-0.742321115,1.695083759,-0.547731568,-0.735599055,-0.365762231,2.978238805,-0.009908522,0.593717194
136,AFG,1985,,,,,,,,,,-1.307726968,-0.750423629,1.040493023,-0.025546941,-0.75134493,-0.267617289,2.803848354,-0.081590793,0.534389414
137,AFG,1986,,,,,,,,,,-1.46245908,-0.420149254,0.685799742,1.162784794,-0.759804095,-0.452311817,2.517970652,0.002467917,0.780492387
138,AFG,1987,,,,,,,,,,-1.485744791,-0.664865132,0.600120763,-0.749596896,-0.824533405,-0.270206116,2.792568855,1.702316881,0.465843934
139,AFG,1988,,,,,,,,,,-1.550775977,-0.698870646,0.643882065,0.49216892,-0.839620904,-0.503287766,2.681152691,1.572671531,0.430003145
140,AFG,1989,,,,,,,,,,-1.970601053,-0.444205065,0.029626146,0.181554398,4.061718935,-0.385168302,2.932519301,0.704187397,-0.426589536
141,AFG,1990,,,,,,,,,,-1.972083042,-0.5817853,-0.174760036,0.062126139,4.047316039,-0.38846134,2.991163597,0.472197286,-0.476022213
142,AFG,1991,,,,,,,,,,-1.821043385,-0.614502465,0.272936427,-0.765945074,4.002898001,-0.32359404,3.428647909,0.339855154,-0.287941152
143,AFG,1992,,,,,,,,,,-1.617980559,-0.419031768,-0.31267499,0.822676917,3.910389302,5.292064799,3.421484704,0.547662863,-0.165060776
144,AFG,1993,,,,,,,,,,-2.217753912,-0.135145476,-0.438674513,1.149419507,2.260200904,-0.329421826,0.73431389,2.550053419,0.177883374
145,AFG,1994,,,,,,,,,,-1.937287459,-0.09806386,1.511417593,0.362187336,2.450113708,-0.158381969,0.57750185,1.170218705,0.472657536
146,AFG,1995,,,,,,,,,,-2.136993309,-0.193760669,-0.465170986,1.319659776,2.371242263,-0.359957861,0.69757214,1.183346994,0.370216671
147,AFG,1996,,,,,,,,,,-2.001437125,-0.338926227,-0.567842498,1.521675499,2.443271432,5.2205813,0.613983878,0.565176714,-0.358404438
148,AFG,1997,,,,,,,,,,-2.279660549,-0.232687306,0.293777686,-0.757699421,0.304363887,-0.070635862,0.528141612,2.441092321,0.449812674
149,AFG,1998,,,,,,,,,,-2.153843593,-0.28976667,0.371724324,-0.586101129,0.469178313,-0.135864523,0.598050079,1.08293409,0.622567464
150,AFG,1999,,,,,,,,,,-2.160457615,-0.290367883,0.295356443,-0.571876574,0.384243984,-0.13463962,0.566852208,1.000613159,0.674328217
151,AFG,2000,,,,,,,,,,-2.141798526,-0.287706303,0.343406218,-0.569661465,0.418710413,-0.132788329,0.581441788,0.913662362,0.654981333
152,AFG,2001,,,,,,,,,,-1.683510808,-0.533350764,-0.398219341,-0.860580488,0.179824758,5.476761705,3.344362131,0.589917929,0.781726701
153,AFG,2002,,,,,,,,,,-1.969540714,-0.453917784,-0.011080071,1.174065683,1.179691761,-0.331245557,3.741016676,2.343836034,0.119459215
154,AFG,2003,,,,,,,,,,-1.881358413,-0.426257482,0.613462073,0.488280438,2.027415952,-0.216569852,3.132236079,1.027228881,-0.043858199
155,AFG,2004,,,,,,,,,,-1.864780512,-0.067894557,0.329682492,0.432362785,1.228062719,-0.315097,3.499352003,0.931462881,0.317368411
156,AFG,2005,,,,,,,,,,-1.78274422,0.071610221,0.70173042,-0.192343239,0.688437767,-0.465141665,3.462488485,0.45931042,0.912659864
157,AFG,2006,,,,,,,,,,0.429407808,-0.287776155,0.195557341,-0.889486549,-0.837430147,-0.121600996,2.705334785,0.039679195,-0.64535093
158,AFG,2007,,,,,,,,,,0.530691217,-0.307281612,1.148950962,-0.854137748,0.056998158,-0.009200494,2.674182267,-0.0924323,-1.177384741
159,AFG,2008,,,,,,,,,,0.557914878,-0.515485038,1.156864497,-0.907419137,-0.530562281,-0.088757285,2.849389891,-0.350414952,-0.992361006
160,AFG,2009,,,,,,,,,,0.558961353,-0.307736259,1.224357335,-0.818579362,-0.392727901,-0.003614297,2.669972527,-0.260875484,-1.098486997
161,AFG,2010,,,,,,,,,,0.449517544,-0.537158506,0.712506078,0.456498347,-0.449134307,-0.224401725,2.770322549,-0.621505282,-1.373537421
162,AFG,2011,,,,,,,,,,1.009631608,-0.090407999,1.262437775,-0.71706039,-0.62359293,-0.094043926,3.846249276,-0.781075761,-1.31382369
163,AFG,2012,,,,,,,,,,1.050974272,0.568182107,0.580041878,-0.783109571,-0.594316598,-0.176436936,3.846466029,-0.893479322,-1.030702414
164,AFG,2013,,,,,,,,,,0.42463128,0.157051336,0.112460777,-0.858926756,-0.297212175,-0.238529369,3.839731102,0.261758154,-0.606405269
165,AFG,2014,,,,,,,,,,0.406317086,1.04658416,0.107932562,0.127768125,-0.055903715,-0.002813282,1.720650492,0.224374772,-0.453279498
166,AGO,1975,,,,,,,,,,-1.034676473,-0.638012073,0.762675915,0.900736006,1.127408852,-0.101209383,3.212383296,0.775878393,-0.797513307
167,AGO,1976,,,,,,,,,,-1.417674457,-0.610268163,1.492265164,0.129628851,0.578419485,-0.490500459,4.13253547,1.042889467,-0.139204809
168,AGO,1977,,,,,,,,,,-1.550793276,-0.623969479,0.886479051,-0.851524454,1.227350616,-0.125962257,3.381776256,0.755849063,0.034851549
169,AGO,1978,,,,,,,,,,-1.692237295,-0.661680843,0.873619972,0.213268024,0.371608515,-0.100302406,3.279486153,0.77474245,-0.023009918
170,AGO,1979,,,,,,,,,,-1.684787138,-0.661201517,0.980338297,0.895277733,0.666607934,-0.261268846,3.186698716,0.659380375,0.216641249
171,AGO,1980,,,,,,,,,,-1.654899031,-0.62921853,0.574623734,-0.495440289,1.301506064,-0.061998686,3.361347961,2.039380193,-0.304050659
